timestamp_ms,mid_price,spread,cancel_rate,imbalance,bid_p1,bid_s1,bid_p2,bid_s2,bid_p3,bid_s3,bid_p4,bid_s4,bid_p5,bid_s5,ask_p1,ask_s1,ask_p2,ask_s2,ask_p3,ask_s3,ask_p4,ask_s4,ask_p5,ask_s5,true_label
1704067200748,99.9524,0.06,0.1279,-0.5276,99.92,82.0,99.91,8.0,99.9,54.0,99.89,23.0,99.88,60.0,99.98,105.0,99.99,513.0,100.0,30.0,100.01,48.0,100.02,38.0,none
1704067201118,99.9615,0.06,0.1733,-0.0096,99.93,11.0,99.92,28.0,99.91,130.0,99.9,113.0,99.89,28.0,99.99,90.0,100.0,52.0,100.01,35.0,100.02,69.0,100.03,70.0,none
1704067203074,99.9514,0.05,0.4618,0.442,99.93,1013.0,99.92,28.0,99.91,40.0,99.9,73.0,99.89,27.0,99.98,28.0,99.99,56.0,100.0,28.0,100.01,145.0,100.02,200.0,spoofing
1704067204948,99.9692,0.02,0.0754,-0.1002,99.96,89.0,99.95,12.0,99.94,156.0,99.93,161.0,99.92,13.0,99.98,34.0,99.99,245.0,100.0,117.0,100.01,79.0,100.02,52.0,none
1704067206002,99.9396,0.06,0.1404,-0.0875,99.91,31.0,99.9,29.0,99.89,11.0,99.88,247.0,99.87,26.0,99.97,53.0,99.98,50.0,99.99,122.0,100.0,82.0,100.01,103.0,none
1704067207313,99.9495,0.02,0.1,0.1892,99.94,193.0,99.93,11.0,99.92,114.0,99.91,17.0,99.9,61.0,99.96,67.0,99.97,26.0,99.98,56.0,99.99,59.0,100.0,62.0,none
1704067207789,99.9229,0.05,0.0779,-0.0538,99.9,57.0,99.89,99.0,99.88,45.0,99.87,75.0,99.86,67.0,99.95,34.0,99.96,28.0,99.97,73.0,99.98,133.0,99.99,114.0,none
1704067209726,99.9564,0.07,0.1197,-0.5915,99.92,45.0,99.91,105.0,99.9,13.0,99.89,9.0,99.88,10.0,99.99,171.0,100.0,89.0,100.01,90.0,100.02,296.0,100.03,63.0,none
1704067211132,99.9863,0.03,0.1317,-0.2005,99.97,100.0,99.96,38.0,99.95,29.0,99.94,110.0,99.93,44.0,100.0,30.0,100.01,78.0,100.02,98.0,100.03,94.0,100.04,182.0,none
1704067211864,100.0215,0.03,0.1056,0.0127,100.01,133.0,100.0,24.0,99.99,66.0,99.98,220.0,99.97,75.0,100.04,33.0,100.05,61.0,100.06,229.0,100.07,104.0,100.08,78.0,none
1704067212891,100.006,0.02,0.0844,-0.1774,100.0,59.0,99.99,26.0,99.98,106.0,99.97,134.0,99.96,53.0,100.02,25.0,100.03,42.0,100.04,132.0,100.05,140.0,100.06,202.0,none
1704067214376,99.985,0.07,0.0835,0.0815,99.95,96.0,99.94,52.0,99.93,111.0,99.92,34.0,99.91,32.0,100.02,22.0,100.03,60.0,100.04,108.0,100.05,59.0,100.06,27.0,none
1704067216343,99.9919,0.04,0.0767,0.075,99.97,131.0,99.96,25.0,99.95,42.0,99.94,68.0,99.93,78.0,100.01,89.0,100.02,43.0,100.03,44.0,100.04,77.0,100.05,43.0,none
1704067218167,99.9414,0.05,0.0696,-0.1612,99.92,82.0,99.91,46.0,99.9,27.0,99.89,37.0,99.88,11.0,99.97,18.0,99.98,62.0,99.99,22.0,100.0,70.0,100.01,109.0,none
1704067219558,99.9249,0.02,0.0353,0.1144,99.91,49.0,99.9,63.0,99.89,73.0,99.88,43.0,99.87,113.0,99.93,60.0,99.94,49.0,99.95,52.0,99.96,32.0,99.97,78.0,none
1704067219900,99.9102,0.04,0.1066,0.3728,99.89,8.0,99.88,82.0,99.87,37.0,99.86,212.0,99.85,9.0,99.93,24.0,99.94,54.0,99.95,31.0,99.96,19.0,99.97,31.0,none
1704067220441,99.9145,0.07,0.209,-0.2968,99.88,56.0,99.87,30.0,99.86,123.0,99.85,91.0,99.84,59.0,99.95,49.0,99.96,51.0,99.97,148.0,99.98,251.0,99.99,163.0,none
1704067220706,99.9177,0.04,0.0874,-0.245,99.9,9.0,99.89,40.0,99.88,74.0,99.87,54.0,99.86,48.0,99.94,31.0,99.95,189.0,99.96,25.0,99.97,53.0,99.98,73.0,none
1704067220917,99.9429,0.05,0.0703,0.4694,99.92,187.0,99.91,132.0,99.9,164.0,99.89,30.0,99.88,27.0,99.97,24.0,99.98,84.0,99.99,26.0,100.0,9.0,100.01,52.0,none
1704067222904,99.9905,0.04,0.1707,0.0045,99.97,55.0,99.96,78.0,99.95,15.0,99.94,38.0,99.93,36.0,100.01,15.0,100.02,48.0,100.03,43.0,100.04,23.0,100.05,91.0,none
1704067223815,100.0039,0.02,0.1895,0.0541,99.99,16.0,99.98,82.0,99.97,55.0,99.96,45.0,99.95,65.0,100.01,39.0,100.02,10.0,100.03,57.0,100.04,46.0,100.05,84.0,wash_trading
1704067224746,99.9191,0.02,0.3551,0.3038,99.91,2102.0,99.9,117.0,99.89,117.0,99.88,69.0,99.87,37.0,99.93,139.0,99.94,918.0,99.95,106.0,99.96,130.0,99.97,11.0,spoofing
1704067225237,99.9268,0.05,0.076,0.5725,99.9,23.0,99.89,59.0,99.88,662.0,99.87,17.0,99.86,41.0,99.95,88.0,99.96,47.0,99.97,39.0,99.98,6.0,99.99,38.0,none
1704067226161,99.9297,0.06,0.0731,-0.1758,99.9,96.0,99.89,38.0,99.88,44.0,99.87,98.0,99.86,71.0,99.96,46.0,99.97,243.0,99.98,165.0,99.99,20.0,100.0,21.0,wash_trading
1704067228136,99.8934,0.06,0.0368,0.1162,99.86,102.0,99.85,192.0,99.84,152.0,99.83,34.0,99.82,178.0,99.92,70.0,99.93,99.0,99.94,292.0,99.95,29.0,99.96,31.0,none
1704067228979,99.8739,0.03,0.2818,0.7527,99.86,1835.0,99.85,42.0,99.84,42.0,99.83,43.0,99.82,51.0,99.89,43.0,99.9,21.0,99.91,28.0,99.92,104.0,99.93,88.0,spoofing
1704067230131,99.8526,0.02,0.3357,0.6782,99.84,2252.0,99.83,15.0,99.82,76.0,99.81,228.0,99.8,21.0,99.86,65.0,99.87,197.0,99.88,23.0,99.89,129.0,99.9,83.0,spoofing
1704067230944,99.8272,0.03,0.0668,-0.1282,99.81,36.0,99.8,23.0,99.79,104.0,99.78,132.0,99.77,62.0,99.84,35.0,99.85,31.0,99.86,49.0,99.87,280.0,99.88,67.0,none
1704067232607,99.7901,0.06,0.1237,0.2268,99.76,130.0,99.75,63.0,99.74,74.0,99.73,45.0,99.72,64.0,99.82,32.0,99.83,35.0,99.84,106.0,99.85,41.0,99.86,23.0,none
1704067232931,99.8068,0.08,0.0382,0.4616,99.77,46.0,99.76,297.0,99.75,90.0,99.74,95.0,99.73,15.0,99.85,19.0,99.86,33.0,99.87,17.0,99.88,26.0,99.89,105.0,none
1704067234780,99.7704,0.04,0.0899,0.2183,99.75,102.0,99.74,42.0,99.73,140.0,99.72,36.0,99.71,12.0,99.79,46.0,99.8,41.0,99.81,54.0,99.82,44.0,99.83,28.0,none
1704067236780,99.7968,0.03,0.0772,-0.525,99.78,66.0,99.77,23.0,99.76,14.0,99.75,89.0,99.74,103.0,99.81,47.0,99.82,455.0,99.83,130.0,99.84,250.0,99.85,65.0,none
1704067237340,99.7853,0.07,0.0934,0.2404,99.75,289.0,99.74,302.0,99.73,291.0,99.72,307.0,99.71,310.0,99.82,66.0,99.83,50.0,99.84,45.0,99.85,9.0,99.86,748.0,layering
1704067238420,99.7863,0.06,0.1609,0.0178,99.76,20.0,99.75,202.0,99.74,48.0,99.73,177.0,99.72,69.0,99.82,189.0,99.83,30.0,99.84,89.0,99.85,142.0,99.86,48.0,none
1704067239551,99.7824,0.02,0.2799,0.6985,99.77,1338.0,99.76,91.0,99.75,30.0,99.74,134.0,99.73,63.0,99.79,21.0,99.8,136.0,99.81,18.0,99.82,78.0,99.83,41.0,spoofing
1704067240899,99.8171,0.04,0.1132,0.1738,99.8,70.0,99.79,20.0,99.78,85.0,99.77,19.0,99.76,39.0,99.84,28.0,99.85,62.0,99.86,9.0,99.87,14.0,99.88,51.0,none
1704067241784,99.7948,0.07,0.1177,-0.0588,99.76,71.0,99.75,7.0,99.74,48.0,99.73,173.0,99.72,13.0,99.83,17.0,99.84,74.0,99.85,63.0,99.86,46.0,99.87,151.0,wash_trading
1704067243242,99.8249,0.05,0.0346,-0.1946,99.8,11.0,99.79,128.0,99.78,53.0,99.77,213.0,99.76,11.0,99.85,40.0,99.86,56.0,99.87,131.0,99.88,280.0,99.89,110.0,wash_trading
1704067244285,99.8478,0.07,0.3328,0.6985,99.81,1528.0,99.8,108.0,99.79,64.0,99.78,26.0,99.77,15.0,99.88,70.0,99.89,42.0,99.9,57.0,99.91,63.0,99.92,77.0,spoofing
1704067245809,99.8475,0.06,0.2763,0.3563,99.82,14.0,99.81,152.0,99.8,171.0,99.79,25.0,99.78,51.0,99.88,23.0,99.89,13.0,99.9,62.0,99.91,47.0,99.92,51.0,none
1704067246397,99.8642,0.03,0.0876,0.2536,99.85,262.0,99.84,268.0,99.83,261.0,99.82,290.0,99.81,256.0,99.88,14.0,99.89,124.0,99.9,43.0,99.91,347.0,99.92,268.0,layering
1704067247270,99.8898,0.02,0.0585,0.7237,99.88,206.0,99.87,260.0,99.86,228.0,99.85,195.0,99.84,209.0,99.9,27.0,99.91,6.0,99.92,17.0,99.93,70.0,99.94,56.0,layering
1704067248576,99.8929,0.04,0.0399,-0.16,99.87,37.0,99.86,22.0,99.85,35.0,99.84,93.0,99.83,107.0,99.91,173.0,99.92,33.0,99.93,25.0,99.94,127.0,99.95,48.0,none
1704067249616,99.8809,0.02,0.093,0.0198,99.87,37.0,99.86,153.0,99.85,99.0,99.84,120.0,99.83,29.0,99.89,70.0,99.9,93.0,99.91,107.0,99.92,119.0,99.93,32.0,none
1704067250185,99.8877,0.02,0.0408,0.3087,99.88,21.0,99.87,173.0,99.86,16.0,99.85,21.0,99.84,106.0,99.9,37.0,99.91,43.0,99.92,35.0,99.93,40.0,99.94,23.0,none
1704067251971,99.8652,0.05,0.0426,-0.2614,99.84,10.0,99.83,43.0,99.82,19.0,99.81,17.0,99.8,106.0,99.89,45.0,99.9,113.0,99.91,98.0,99.92,46.0,99.93,31.0,none
1704067252289,99.8664,0.03,0.1496,0.2,99.85,56.0,99.84,19.0,99.83,55.0,99.82,117.0,99.81,41.0,99.88,33.0,99.89,27.0,99.9,19.0,99.91,54.0,99.92,59.0,none
1704067253645,99.8586,0.06,0.067,0.2385,99.83,31.0,99.82,42.0,99.81,19.0,99.8,146.0,99.79,180.0,99.89,12.0,99.9,49.0,99.91,105.0,99.92,74.0,99.93,17.0,none
1704067255276,99.9152,0.05,0.123,0.1755,99.89,20.0,99.88,157.0,99.87,106.0,99.86,175.0,99.85,21.0,99.94,34.0,99.95,165.0,99.96,9.0,99.97,80.0,99.98,48.0,none
1704067255846,99.8785,0.05,0.0614,-0.1802,99.85,17.0,99.84,111.0,99.83,65.0,99.82,49.0,99.81,90.0,99.9,86.0,99.91,29.0,99.92,92.0,99.93,123.0,99.94,148.0,none
1704067257746,99.8873,0.08,0.1321,0.0245,99.85,94.0,99.84,158.0,99.83,31.0,99.82,26.0,99.81,47.0,99.93,116.0,99.94,60.0,99.95,96.0,99.96,42.0,99.97,25.0,none
1704067259319,99.9014,0.04,0.0308,0.411,99.88,122.0,99.87,108.0,99.86,41.0,99.85,100.0,99.84,53.0,99.92,25.0,99.93,39.0,99.94,31.0,99.95,16.0,99.96,66.0,none
1704067259575,99.8931,0.05,0.1444,-0.1699,99.87,55.0,99.86,10.0,99.85,7.0,99.84,33.0,99.83,44.0,99.92,12.0,99.93,64.0,99.94,41.0,99.95,42.0,99.96,51.0,none
1704067261106,99.9089,0.07,0.0659,0.1809,99.87,26.0,99.86,24.0,99.85,143.0,99.84,70.0,99.83,158.0,99.94,91.0,99.95,35.0,99.96,78.0,99.97,19.0,99.98,69.0,wash_trading
1704067261481,99.9251,0.05,0.0638,0.3989,99.9,63.0,99.89,216.0,99.88,46.0,99.87,69.0,99.86,104.0,99.95,103.0,99.96,34.0,99.97,19.0,99.98,25.0,99.99,33.0,none
1704067261931,99.9278,0.04,0.0486,0.1373,99.91,26.0,99.9,17.0,99.89,22.0,99.88,205.0,99.87,20.0,99.95,56.0,99.96,46.0,99.97,18.0,99.98,69.0,99.99,31.0,none
1704067263708,99.964,0.02,0.1434,-0.1289,99.95,109.0,99.94,45.0,99.93,55.0,99.92,37.0,99.91,65.0,99.97,21.0,99.98,25.0,99.99,71.0,100.0,143.0,100.01,143.0,none
1704067264422,99.9611,0.04,0.0723,0.0641,99.94,31.0,99.93,287.0,99.92,22.0,99.91,103.0,99.9,238.0,99.98,103.0,99.99,33.0,100.0,352.0,100.01,44.0,100.02,67.0,none
1704067265726,100.0504,0.02,0.0605,0.7022,100.04,462.0,100.03,450.0,100.02,461.0,100.01,445.0,100.0,457.0,100.06,38.0,100.07,78.0,100.08,222.0,100.09,38.0,100.1,22.0,layering
1704067266659,100.0088,0.04,0.2343,-0.4202,99.99,92.0,99.98,45.0,99.97,72.0,99.96,63.0,99.95,73.0,100.03,126.0,100.04,119.0,100.05,115.0,100.06,175.0,100.07,310.0,none
1704067266858,100.0019,0.04,0.0422,-0.0397,99.98,107.0,99.97,53.0,99.96,43.0,99.95,125.0,99.94,47.0,100.02,45.0,100.03,141.0,100.04,55.0,100.05,84.0,100.06,81.0,none
1704067267518,100.0029,0.06,0.0189,0.2222,99.97,14.0,99.96,50.0,99.95,60.0,99.94,29.0,99.93,78.0,100.03,56.0,100.04,29.0,100.05,21.0,100.06,17.0,100.07,24.0,none
1704067268360,100.0111,0.02,0.2616,-0.4959,100.0,18.0,99.99,10.0,99.98,53.0,99.97,35.0,99.96,36.0,100.02,293.0,100.03,12.0,100.04,22.0,100.05,99.0,100.06,25.0,none
1704067270260,100.0352,0.03,0.0851,0.05,100.02,87.0,100.01,104.0,100.0,81.0,99.99,51.0,99.98,34.0,100.05,83.0,100.06,106.0,100.07,47.0,100.08,65.0,100.09,22.0,none
1704067271375,100.0745,0.05,0.0533,-0.0831,100.05,24.0,100.04,20.0,100.03,58.0,100.02,75.0,100.01,16.0,100.1,83.0,100.11,21.0,100.12,47.0,100.13,52.0,100.14,25.0,none
1704067272079,100.0447,0.02,0.1352,-0.0667,100.03,43.0,100.02,61.0,100.01,26.0,100.0,17.0,99.99,63.0,100.05,108.0,100.06,37.0,100.07,29.0,100.08,44.0,100.09,22.0,none
1704067274042,100.0683,0.06,0.0516,-0.0819,100.04,29.0,100.03,67.0,100.02,33.0,100.01,80.0,100.0,88.0,100.1,40.0,100.11,63.0,100.12,118.0,100.13,74.0,100.14,55.0,none
1704067274700,100.0424,0.05,0.1217,0.1425,100.02,31.0,100.01,76.0,100.0,217.0,99.99,49.0,99.98,152.0,100.07,39.0,100.08,140.0,100.09,47.0,100.1,134.0,100.11,34.0,none
1704067276229,100.0262,0.03,0.1354,0.284,100.01,23.0,100.0,37.0,99.99,104.0,99.98,264.0,99.97,101.0,100.04,69.0,100.05,56.0,100.06,49.0,100.07,105.0,100.08,16.0,none
1704067276455,100.0034,0.02,0.1025,0.3112,99.99,151.0,99.98,75.0,99.97,88.0,99.96,79.0,99.95,41.0,100.01,46.0,100.02,24.0,100.03,70.0,100.04,35.0,100.05,53.0,none
1704067276853,100.0841,0.02,0.0975,0.1425,100.07,94.0,100.06,236.0,100.05,71.0,100.04,75.0,100.03,49.0,100.09,96.0,100.1,73.0,100.11,50.0,100.12,46.0,100.13,129.0,none
1704067277488,100.075,0.05,0.0974,-0.0261,100.05,153.0,100.04,83.0,100.03,74.0,100.02,41.0,100.01,22.0,100.1,111.0,100.11,17.0,100.12,26.0,100.13,35.0,100.14,204.0,none
1704067278545,100.0675,0.04,0.0781,-0.1603,100.05,20.0,100.04,51.0,100.03,55.0,100.02,162.0,100.01,29.0,100.09,121.0,100.1,47.0,100.11,30.0,100.12,142.0,100.13,98.0,none
1704067279435,100.0669,0.03,0.0676,0.3828,100.05,37.0,100.04,392.0,100.03,41.0,100.02,62.0,100.01,129.0,100.08,167.0,100.09,48.0,100.1,24.0,100.11,48.0,100.12,8.0,none
1704067280966,100.0344,0.05,0.29,0.2583,100.01,27.0,100.0,18.0,99.99,35.0,99.98,83.0,99.97,27.0,100.06,36.0,100.07,9.0,100.08,17.0,100.09,33.0,100.1,17.0,none
1704067282428,100.0627,0.06,0.6301,0.3734,100.03,1082.0,100.02,73.0,100.01,89.0,100.0,42.0,99.99,16.0,100.09,79.0,100.1,34.0,100.11,401.0,100.12,54.0,100.13,26.0,spoofing
1704067282917,100.0833,0.04,0.0415,0.7439,100.06,433.0,100.05,421.0,100.04,414.0,100.03,410.0,100.02,433.0,100.1,19.0,100.11,99.0,100.12,54.0,100.13,103.0,100.14,35.0,layering
1704067284423,100.0837,0.02,0.0634,-0.0958,100.07,79.0,100.06,71.0,100.05,72.0,100.04,38.0,100.03,23.0,100.09,101.0,100.1,79.0,100.11,123.0,100.12,18.0,100.13,22.0,none
1704067285197,100.133,0.04,0.076,0.1463,100.11,142.0,100.1,53.0,100.09,86.0,100.08,29.0,100.07,160.0,100.15,113.0,100.16,95.0,100.17,46.0,100.18,67.0,100.19,29.0,none
1704067286584,100.1147,0.05,0.1542,0.2671,100.09,140.0,100.08,151.0,100.07,50.0,100.06,68.0,100.05,44.0,100.14,94.0,100.15,16.0,100.16,70.0,100.17,35.0,100.18,47.0,none
1704067286823,100.0862,0.03,0.1399,0.1901,100.07,93.0,100.06,249.0,100.05,188.0,100.04,254.0,100.03,83.0,100.1,253.0,100.11,120.0,100.12,46.0,100.13,88.0,100.14,83.0,none
1704067287732,100.0429,0.02,0.101,0.1805,100.03,11.0,100.02,175.0,100.01,331.0,100.0,87.0,99.99,135.0,100.05,6.0,100.06,109.0,100.07,198.0,100.08,184.0,100.09,16.0,none
1704067289367,100.092,0.02,0.202,-0.0755,100.08,92.0,100.07,62.0,100.06,19.0,100.05,44.0,100.04,40.0,100.1,143.0,100.11,38.0,100.12,20.0,100.13,27.0,100.14,71.0,none
1704067289590,100.0762,0.03,0.2647,0.6146,100.06,1645.0,100.05,46.0,100.04,164.0,100.03,38.0,100.02,26.0,100.09,148.0,100.1,46.0,100.11,105.0,100.12,87.0,100.13,72.0,spoofing
1704067289783,100.0776,0.03,0.0398,0.1731,100.06,367.0,100.05,47.0,100.04,57.0,100.03,108.0,100.02,41.0,100.09,15.0,100.1,97.0,100.11,211.0,100.12,40.0,100.13,74.0,none
1704067290471,100.1111,0.06,0.0475,-0.2159,100.08,45.0,100.07,77.0,100.06,33.0,100.05,30.0,100.04,51.0,100.14,66.0,100.15,125.0,100.16,93.0,100.17,34.0,100.18,48.0,none
1704067292337,100.0948,0.07,0.059,-0.0405,100.06,22.0,100.05,36.0,100.04,47.0,100.03,43.0,100.02,101.0,100.13,75.0,100.14,59.0,100.15,35.0,100.16,67.0,100.17,34.0,none
1704067292989,100.1254,0.07,0.0963,-0.0485,100.09,37.0,100.08,45.0,100.07,68.0,100.06,93.0,100.05,110.0,100.16,36.0,100.17,172.0,100.18,104.0,100.19,21.0,100.2,56.0,none
1704067293183,100.1099,0.04,0.1424,0.6469,100.09,616.0,100.08,592.0,100.07,591.0,100.06,591.0,100.05,595.0,100.13,251.0,100.14,138.0,100.15,35.0,100.16,15.0,100.17,201.0,layering
1704067294494,100.142,0.06,0.0589,0.1826,100.11,111.0,100.1,53.0,100.09,36.0,100.08,49.0,100.07,10.0,100.17,70.0,100.18,47.0,100.19,18.0,100.2,22.0,100.21,22.0,none
1704067294902,100.1071,0.05,0.3678,-0.1539,100.08,118.0,100.07,161.0,100.06,14.0,100.05,52.0,100.04,70.0,100.13,151.0,100.14,34.0,100.15,25.0,100.16,130.0,100.17,226.0,wash_trading
1704067295566,100.1276,0.02,0.0592,0.0102,100.12,43.0,100.11,40.0,100.1,66.0,100.09,52.0,100.08,144.0,100.14,52.0,100.15,15.0,100.16,131.0,100.17,127.0,100.18,13.0,none
1704067296694,100.1085,0.02,0.4155,0.7148,100.1,2019.0,100.09,114.0,100.08,64.0,100.07,84.0,100.06,64.0,100.12,167.0,100.13,76.0,100.14,68.0,100.15,25.0,100.16,54.0,spoofing
1704067298277,100.1133,0.02,0.1071,-0.4564,100.1,24.0,100.09,64.0,100.08,42.0,100.07,21.0,100.06,11.0,100.12,61.0,100.13,18.0,100.14,68.0,100.15,28.0,100.16,259.0,none
1704067300149,100.1566,0.04,0.0472,-0.2125,100.14,36.0,100.13,27.0,100.12,73.0,100.11,166.0,100.1,89.0,100.18,99.0,100.19,93.0,100.2,71.0,100.21,22.0,100.22,317.0,none
1704067301002,100.1613,0.06,0.3622,0.676,100.13,1321.0,100.12,173.0,100.11,30.0,100.1,66.0,100.09,148.0,100.19,97.0,100.2,66.0,100.21,25.0,100.22,70.0,100.23,78.0,spoofing
1704067301842,100.1755,0.03,0.0868,0.0033,100.16,90.0,100.15,10.0,100.14,146.0,100.13,25.0,100.12,36.0,100.19,65.0,100.2,51.0,100.21,86.0,100.22,60.0,100.23,43.0,none
1704067302607,100.1567,0.05,0.0543,0.511,100.13,220.0,100.12,76.0,100.11,408.0,100.1,65.0,100.09,90.0,100.18,65.0,100.19,120.0,100.2,23.0,100.21,48.0,100.22,22.0,none
1704067304371,100.1366,0.07,0.1519,-0.0605,100.1,96.0,100.09,67.0,100.08,41.0,100.07,10.0,100.06,50.0,100.17,89.0,100.18,101.0,100.19,53.0,100.2,16.0,100.21,39.0,none
1704067305244,100.1585,0.04,0.0381,0.6496,100.14,424.0,100.13,429.0,100.12,431.0,100.11,448.0,100.1,410.0,100.18,132.0,100.19,90.0,100.2,109.0,100.21,32.0,100.22,92.0,layering
1704067305612,100.1729,0.03,0.0884,-0.2457,100.16,42.0,100.15,30.0,100.14,42.0,100.13,76.0,100.12,54.0,100.19,248.0,100.2,27.0,100.21,66.0,100.22,39.0,100.23,23.0,wash_trading
